epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14595.3,0.20684,0.54493,0.93466,0.99101,0.98915,0.99356,0.99346,0.11163,0.09774,0.37638,0.005842,0.005842,0.005842
44,14926.6,0.20699,0.54229,0.93333,0.99131,0.99006,0.99358,0.99348,0.11108,0.09714,0.37586,0.005743,0.005743,0.005743
45,15258.5,0.20658,0.53729,0.93481,0.99141,0.98997,0.99364,0.99355,0.10977,0.09583,0.37497,0.005644,0.005644,0.005644
46,15589.9,0.20432,0.53821,0.9344,0.99201,0.98977,0.99373,0.99361,0.10906,0.09508,0.37441,0.005545,0.005545,0.005545
47,15921.6,0.20431,0.5381,0.93368,0.99133,0.99015,0.99375,0.99368,0.10835,0.09461,0.37381,0.005446,0.005446,0.005446
48,16253.4,0.20425,0.53232,0.93332,0.99069,0.99108,0.99379,0.99375,0.10754,0.09419,0.37323,0.005347,0.005347,0.005347
49,16585.1,0.20264,0.53042,0.93299,0.99093,0.99122,0.99389,0.99387,0.10676,0.09341,0.37257,0.005248,0.005248,0.005248
50,16916.7,0.20243,0.52725,0.93159,0.99122,0.99235,0.99393,0.99392,0.10622,0.09257,0.37198,0.005149,0.005149,0.005149
51,17248.2,0.20095,0.52362,0.93063,0.99197,0.99266,0.994,0.99398,0.10592,0.09203,0.37144,0.00505,0.00505,0.00505
52,17579.2,0.20137,0.5241,0.93355,0.99191,0.99302,0.99406,0.99405,0.10562,0.09143,0.37098,0.004951,0.004951,0.004951
53,19378.7,0.19889,0.51635,0.9316,0.99162,0.99438,0.9941,0.99408,0.10542,0.0909,0.37075,0.004852,0.004852,0.004852
54,20379.8,0.19797,0.51419,0.9317,0.99205,0.99397,0.99414,0.99413,0.10542,0.0905,0.37074,0.004753,0.004753,0.004753
55,20700.9,0.19665,0.51311,0.93079,0.9924,0.9944,0.9942,0.99419,0.10508,0.08967,0.37044,0.004654,0.004654,0.004654
56,21037.1,0.19557,0.50493,0.92981,0.99292,0.99462,0.99423,0.99421,0.10504,0.08919,0.37026,0.004555,0.004555,0.004555
57,21363,0.19656,0.50912,0.93105,0.9927,0.99486,0.99425,0.99423,0.10606,0.0895,0.37073,0.004456,0.004456,0.004456
58,21691.9,0.19426,0.5069,0.92851,0.99281,0.99483,0.99426,0.99424,0.10662,0.08962,0.37095,0.004357,0.004357,0.004357
59,22017.7,0.1929,0.49922,0.92914,0.99289,0.99468,0.99428,0.99426,0.10703,0.08966,0.37105,0.004258,0.004258,0.004258
60,22343.7,0.19178,0.50217,0.92916,0.99314,0.99433,0.99429,0.99428,0.10714,0.08983,0.37087,0.004159,0.004159,0.004159
61,22669.7,0.19158,0.49877,0.92721,0.99345,0.99419,0.99433,0.99432,0.10657,0.08917,0.37053,0.00406,0.00406,0.00406
62,22995.3,0.18938,0.49189,0.92807,0.99398,0.99397,0.99438,0.99436,0.10771,0.08946,0.37125,0.003961,0.003961,0.003961
63,23321.1,0.18958,0.496,0.92735,0.99435,0.9943,0.9944,0.99438,0.10774,0.08903,0.37128,0.003862,0.003862,0.003862
64,23646.5,0.18739,0.48819,0.92679,0.99447,0.99443,0.99442,0.99439,0.1071,0.08852,0.37077,0.003763,0.003763,0.003763
65,23972.3,0.18638,0.48545,0.92626,0.99487,0.99443,0.99447,0.99445,0.10623,0.08789,0.37018,0.003664,0.003664,0.003664
66,24297.9,0.18578,0.47881,0.92641,0.99506,0.99441,0.9945,0.99448,0.10614,0.08777,0.37001,0.003565,0.003565,0.003565
67,24623.5,0.18507,0.47809,0.92533,0.99533,0.99439,0.99452,0.9945,0.10567,0.08767,0.36958,0.003466,0.003466,0.003466
68,24948.8,0.18392,0.47279,0.92578,0.99561,0.99442,0.99461,0.99458,0.10531,0.08713,0.36937,0.003367,0.003367,0.003367
69,25274.2,0.18177,0.47328,0.92573,0.99576,0.99439,0.99467,0.99465,0.10475,0.08658,0.36893,0.003268,0.003268,0.003268
70,25598.3,0.18218,0.4741,0.92513,0.99588,0.99438,0.99471,0.99468,0.10366,0.08589,0.36821,0.003169,0.003169,0.003169
71,25923.8,0.17927,0.46531,0.92228,0.99599,0.99435,0.99473,0.99469,0.10305,0.08546,0.36763,0.00307,0.00307,0.00307
72,26249,0.17993,0.46397,0.92379,0.9963,0.99427,0.99476,0.99471,0.1026,0.08505,0.36702,0.002971,0.002971,0.002971
73,26573.9,0.17866,0.46259,0.92216,0.99655,0.99411,0.99478,0.99474,0.10208,0.08418,0.36644,0.002872,0.002872,0.002872
74,26899.2,0.17583,0.45648,0.92079,0.99672,0.99415,0.99479,0.99475,0.10127,0.08352,0.36594,0.002773,0.002773,0.002773
75,27224.7,0.17538,0.45151,0.92216,0.9954,0.99622,0.99481,0.99477,0.10031,0.08302,0.36536,0.002674,0.002674,0.002674
76,27549.8,0.1748,0.45135,0.92166,0.99563,0.99616,0.99482,0.99478,0.09925,0.08268,0.36498,0.002575,0.002575,0.002575
77,27874.7,0.17239,0.44158,0.92085,0.99615,0.99599,0.99483,0.99479,0.09875,0.08228,0.36469,0.002476,0.002476,0.002476
78,28204.5,0.17225,0.44183,0.92116,0.99687,0.99539,0.99484,0.9948,0.09859,0.08231,0.36467,0.002377,0.002377,0.002377
79,28530.5,0.17094,0.43703,0.92082,0.99698,0.9953,0.99486,0.99481,0.0985,0.08226,0.36464,0.002278,0.002278,0.002278
80,28856.1,0.16947,0.43457,0.91908,0.99703,0.9957,0.99487,0.99483,0.09797,0.08197,0.36434,0.002179,0.002179,0.002179
81,29182,0.1692,0.43512,0.91993,0.99706,0.9957,0.99488,0.99484,0.09741,0.08148,0.36412,0.00208,0.00208,0.00208
82,29508.8,0.16825,0.43219,0.92003,0.99639,0.99617,0.99488,0.99484,0.097,0.08101,0.36386,0.001981,0.001981,0.001981
83,29834.1,0.16772,0.43461,0.92042,0.9966,0.99621,0.9949,0.99485,0.09648,0.08085,0.36363,0.001882,0.001882,0.001882
84,30158.8,0.16591,0.42572,0.91742,0.99704,0.99597,0.99491,0.99486,0.09595,0.08074,0.36354,0.001783,0.001783,0.001783
85,30483.9,0.16552,0.42028,0.9188,0.99714,0.99603,0.99493,0.99488,0.09559,0.08072,0.36338,0.001684,0.001684,0.001684
86,30809.5,0.16607,0.42383,0.91878,0.99715,0.99607,0.99494,0.99491,0.09507,0.08005,0.36298,0.001585,0.001585,0.001585
87,31134.8,0.1636,0.41971,0.91739,0.99683,0.99687,0.99494,0.99491,0.09455,0.07932,0.36265,0.001486,0.001486,0.001486
88,31459.9,0.16066,0.41064,0.91665,0.99696,0.99694,0.99495,0.99491,0.09423,0.07862,0.3623,0.001387,0.001387,0.001387
89,31785.4,0.16075,0.40981,0.91563,0.99705,0.99677,0.99496,0.99492,0.09363,0.07793,0.36188,0.001288,0.001288,0.001288
90,32110.4,0.15876,0.40383,0.9156,0.99709,0.9968,0.99497,0.99492,0.09327,0.07733,0.36163,0.001189,0.001189,0.001189
91,32477.5,0.20542,0.12891,1.00104,0.9972,0.99699,0.99497,0.99494,0.09258,0.07702,0.36105,0.00109,0.00109,0.00109
92,32800.8,0.19766,0.11902,0.99283,0.99715,0.99699,0.99498,0.99498,0.09172,0.07662,0.36037,0.000991,0.000991,0.000991
93,33124.1,0.19101,0.11323,0.98535,0.99739,0.99683,0.99498,0.99498,0.0905,0.076,0.3594,0.000892,0.000892,0.000892
94,33447.4,0.18826,0.11075,0.9853,0.99753,0.997,0.99498,0.99498,0.08963,0.07582,0.35855,0.000793,0.000793,0.000793
95,33770.8,0.18517,0.10799,0.98305,0.99758,0.99706,0.99499,0.99498,0.08853,0.07521,0.35756,0.000694,0.000694,0.000694
96,34094.3,0.18265,0.10533,0.97999,0.99773,0.99704,0.99499,0.99499,0.08733,0.07488,0.35658,0.000595,0.000595,0.000595
97,34417.5,0.17939,0.10285,0.97894,0.99792,0.99692,0.99499,0.99499,0.08617,0.075,0.35571,0.000496,0.000496,0.000496
98,34740.7,0.17571,0.10001,0.97333,0.99652,0.99881,0.99499,0.99499,0.0852,0.07498,0.35504,0.000397,0.000397,0.000397
99,35063.9,0.17457,0.09666,0.97149,0.99671,0.99905,0.995,0.995,0.084,0.07469,0.35414,0.000298,0.000298,0.000298
100,35387.4,0.17338,0.09498,0.97376,0.99685,0.99901,0.995,0.995,0.08286,0.07478,0.35324,0.000199,0.000199,0.000199
